N,forward,backward,random
2.13672,8,8,8
2.14062,8,8,8
2.14453,8,8,8
2.14844,8,8,8
2.15234,8,8,8
2.15625,8,8,8
2.16016,8,8,8
2.16406,8,8,8
2.16797,8,8,8
2.17188,8,8,8
2.17578,8,8,8
2.17969,8,8,8
2.18359,8,8,8
2.1875,8,8,8
2.19141,8,8,8
2.19531,8,8,8
2.19922,8,8,8
2.20312,8,8,8
2.20703,8,8,8
2.21094,8,8,8
2.21484,8,8,8
2.21875,8,8,8
2.22266,8,8,8
2.22656,8,8,8
2.23047,8,8,8
2.23438,8,8,8
2.23828,8,8,8
2.24219,8,8,8
2.24609,8,8,8
2.25,8,8,8
2.25391,8,8,8
2.25781,8,8,8
2.26172,8,8,8
2.26562,8,8,8
2.26953,8,8,8
2.27344,8,8,8
2.27734,8,8,8
2.28125,8,8,8
2.28516,8,8,8
2.28906,8,8,8
2.29297,9,9,9
2.29688,8,8,8
2.30078,8,8,8
2.30469,8,8,8
2.30859,8,8,8
2.3125,8,8,8
2.31641,8,8,8
2.32031,8,8,8
2.32422,8,8,8
2.32812,8,8,8
2.33203,8,8,8
2.33594,8,8,8
2.33984,8,8,8
2.34375,8,8,8
2.34766,8,8,8
2.35156,8,8,8
2.35547,8,8,8
2.35938,8,8,8
2.36328,9,9,8
2.36719,8,8,8
2.37109,8,8,8
2.375,8,8,8
2.37891,8,8,8
2.38281,8,8,8
2.38672,8,8,8
2.39062,8,8,8
2.39453,8,8,8
2.39844,8,8,8
2.40234,8,8,8
2.40625,8,8,8
2.41016,8,8,8
2.41406,8,8,8
2.41797,8,8,8
2.42188,8,8,8
2.42578,8,8,8
2.42969,8,8,8
2.43359,8,8,8
2.4375,8,8,8
2.44141,8,8,8
2.44531,8,8,8
2.44922,8,8,8
2.45312,8,8,8
2.45703,8,8,8
2.46094,8,8,8
2.46484,9,8,8
2.46875,8,8,8
2.47266,8,8,8
2.47656,8,8,8
2.48047,8,8,8
2.48438,8,8,8
2.48828,8,8,8
2.49219,8,8,8
2.49609,8,8,8
2.5,8,8,8
2.50391,8,8,8
2.50781,8,8,8
2.51172,8,8,8
2.51562,8,8,8
2.51953,8,8,8
2.52344,8,8,8
2.52734,8,8,8
2.53125,8,8,8
2.53516,8,8,8
2.53906,8,8,8
2.54297,8,8,8
2.54688,8,8,8
2.55078,8,8,8
2.55469,8,8,8
2.55859,8,8,8
2.5625,8,8,8
2.56641,8,8,8
2.57031,8,8,8
2.57422,8,8,8
2.57812,8,8,8
2.58203,8,8,8
2.58594,8,8,8
2.58984,8,8,8
2.59375,8,8,8
2.59766,8,8,8
2.60156,8,8,8
2.60547,8,8,8
2.60938,8,8,8
2.61328,8,8,8
2.61719,8,8,8
2.62109,8,8,8
2.625,8,8,8
2.62891,8,8,8
2.63281,8,8,8
2.63672,8,8,8
2.64062,8,8,8
2.64453,8,8,8
2.64844,8,8,8
2.65234,8,8,8
2.65625,8,8,8
2.66016,8,8,8
2.66406,8,8,8
2.66797,8,8,8
2.67188,8,8,8
2.67578,8,8,8
2.67969,8,8,8
2.68359,8,8,8
2.6875,8,8,8
2.69141,8,8,8
2.69531,8,8,8
2.69922,8,8,8
2.70312,9,8,8
2.70703,8,8,8
2.71094,8,8,8
2.71484,8,8,8
2.71875,8,8,8
2.72266,8,8,8
2.72656,8,8,8
2.73047,8,8,8
2.73438,8,8,8
2.73828,8,8,8
2.74219,8,8,8
2.74609,8,8,8
2.75,8,8,8
2.75391,8,8,8
2.75781,8,8,8
2.76172,8,8,8
