N,forward,backward,random
16.2617,10,10,8
16.2656,10,10,8
16.2695,10,10,8
16.2734,9,8,8
16.2773,10,10,8
16.2812,10,10,8
16.2852,10,10,8
16.2891,10,8,8
16.293,10,10,8
16.2969,10,10,8
16.3008,10,10,8
16.3047,10,10,8
16.3086,8,8,8
16.3125,10,8,8
16.3164,10,10,8
16.3203,10,10,8
16.3242,10,10,8
16.3281,10,10,8
16.332,10,8,8
16.3359,10,8,8
16.3398,10,8,8
16.3438,10,8,8
16.3477,10,10,8
16.3516,10,10,8
16.3555,10,10,8
16.3594,10,10,8
16.3633,10,10,8
16.3672,10,10,8
16.3711,10,10,8
16.375,8,8,8
16.3789,10,8,8
16.3828,10,8,8
16.3867,10,10,8
16.3906,10,10,8
16.3945,10,10,8
16.3984,10,10,8
16.4023,10,10,8
16.4062,10,10,8
16.4102,10,10,8
16.4141,10,10,8
16.418,10,10,8
16.4219,10,10,8
16.4258,10,10,8
16.4297,10,10,8
16.4336,10,10,8
16.4375,10,10,8
16.4414,10,10,8
16.4453,10,10,8
16.4492,10,10,8
16.4531,10,10,8
16.457,10,10,8
16.4609,10,10,8
16.4648,10,8,8
16.4688,10,8,8
16.4727,10,8,8
16.4766,10,8,8
16.4805,10,8,8
16.4844,10,9,8
16.4883,10,10,8
16.4922,10,10,8
16.4961,10,10,8
16.5,10,10,8
16.5039,10,10,8
16.5078,10,10,8
16.5117,10,10,8
16.5156,10,8,8
16.5195,10,8,8
16.5234,10,8,8
16.5273,10,8,8
16.5312,10,8,8
16.5352,10,8,8
16.5391,10,8,8
16.543,10,8,8
16.5469,10,8,8
16.5508,10,8,8
16.5547,9,8,8
16.5586,8,8,8
16.5625,8,8,8
16.5664,10,10,8
16.5703,10,10,8
16.5742,10,8,8
16.5781,10,8,8
16.582,10,10,8
16.5859,10,9,8
16.5898,10,8,8
16.5938,8,8,8
16.5977,10,10,8
16.6016,10,10,8
16.6055,10,8,8
16.6094,10,8,8
16.6133,10,10,8
16.6172,10,9,8
16.6211,9,8,8
16.625,10,10,8
16.6289,10,10,8
16.6328,10,10,8
16.6367,10,10,8
16.6406,10,8,8
16.6445,8,8,8
16.6484,10,10,8
16.6523,10,10,8
16.6562,10,9,8
16.6602,10,8,8
16.6641,10,10,8
16.668,10,8,8
16.6719,10,10,8
16.6758,10,8,8
16.6797,8,8,8
16.6836,10,10,8
16.6875,10,8,8
16.6914,10,10,8
16.6953,10,10,8
16.6992,10,8,8
16.7031,10,10,8
16.707,10,8,8
16.7109,8,8,8
16.7148,10,10,8
16.7188,10,10,8
16.7227,10,8,8
16.7266,10,10,8
16.7305,10,10,8
16.7344,10,8,8
16.7383,10,10,8
16.7422,8,8,8
16.7461,10,8,8
16.75,8,8,8
16.7539,10,10,8
16.7578,10,8,8
16.7617,8,8,8
16.7656,10,10,8
16.7695,10,8,8
16.7734,9,8,8
16.7773,10,10,8
16.7812,10,8,8
16.7852,10,8,8
16.7891,10,10,8
16.793,10,8,8
16.7969,10,10,8
16.8008,10,10,8
16.8047,10,8,8
16.8086,10,10,8
16.8125,10,8,8
16.8164,8,8,8
16.8203,10,10,8
16.8242,10,8,8
16.8281,10,10,8
16.832,10,8,8
16.8359,9,8,8
16.8398,10,10,8
16.8438,10,8,8
16.8477,8,8,8
16.8516,10,10,8
16.8555,10,8,8
16.8594,10,10,8
16.8633,10,8,8
16.8672,10,10,8
16.8711,10,8,8
16.875,10,10,8
16.8789,10,8,8
16.8828,10,10,8
16.8867,10,8,8
16.8906,10,10,8
16.8945,10,8,8
16.8984,10,10,8
16.9023,10,8,8
16.9062,10,10,8
16.9102,10,8,8
16.9141,10,10,8
16.918,8,8,8
16.9219,10,10,8
16.9258,8,8,8
16.9297,10,8,8
16.9336,10,10,8
16.9375,10,8,8
16.9414,10,10,8
16.9453,10,8,8
16.9492,10,10,8
16.9531,10,8,8
16.957,10,10,8
16.9609,8,8,8
16.9648,10,8,8
16.9688,10,10,8
16.9727,10,8,8
16.9766,10,10,8
16.9805,10,10,8
16.9844,9,8,8
16.9883,10,8,8
16.9922,10,10,8
16.9961,10,10,8
17,10,8,8
17.0039,10,8,8
17.0078,10,10,8
17.0117,10,10,8
17.0156,10,10,8
17.0195,10,10,8
17.0234,10,10,8
17.0273,8,8,8
17.0312,10,8,8
17.0352,10,8,8
17.0391,10,10,8
17.043,10,10,8
17.0469,10,10,8
17.0508,10,10,8
17.0547,10,8,8
17.0586,10,8,8
17.0625,10,9,8
17.0664,10,10,8
17.0703,10,10,8
17.0742,10,10,8
17.0781,8,8,8
17.082,10,8,8
17.0859,10,8,8
17.0898,10,8,8
17.0938,10,10,8
17.0977,10,10,8
17.1016,10,10,8
17.1055,10,10,8
17.1094,8,8,8
17.1133,10,8,8
17.1172,8,8,8
17.1211,10,10,8
17.125,10,10,8
17.1289,8,8,8
17.1328,10,8,8
17.1367,10,8,8
17.1406,10,10,8
17.1445,10,10,8
17.1484,10,8,8
17.1523,10,8,8
17.1562,10,8,8
17.1602,10,8,8
17.1641,10,8,8
17.168,10,8,8
17.1719,10,10,8
17.1758,10,10,8
17.1797,10,10,8
17.1836,10,10,8
17.1875,10,10,8
17.1914,10,10,8
17.1953,10,8,8
17.1992,10,9,8
17.2031,10,10,8
17.207,10,10,8
17.2109,8,8,8
17.2148,10,10,8
17.2188,10,10,8
17.2227,10,10,8
17.2266,10,10,8
17.2305,10,10,8
17.2344,8,8,8
17.2383,10,8,8
17.2422,10,8,8
17.2461,10,8,8
17.25,10,8,8
17.2539,10,8,8
17.2578,10,10,8
17.2617,10,10,8
17.2656,10,10,8
17.2695,10,10,8
17.2734,10,10,8
17.2773,10,10,8
17.2812,10,10,8
17.2852,10,10,8
17.2891,10,10,8
17.293,10,8,8
17.2969,10,8,8
17.3008,10,10,8
17.3047,10,8,8
17.3086,10,9,8
17.3125,10,8,8
17.3164,10,8,8
17.3203,10,8,8
17.3242,10,8,8
17.3281,10,8,8
17.332,10,8,8
17.3359,10,8,8
17.3398,10,8,8
17.3438,10,8,8
17.3477,10,8,8
17.3516,10,8,8
17.3555,10,8,8
17.3594,10,8,8
17.3633,10,8,8
17.3672,10,8,8
17.3711,10,8,8
17.375,9,8,8
17.3789,10,10,8
17.3828,10,10,8
17.3867,10,8,8
17.3906,10,10,8
17.3945,8,8,8
17.3984,8,8,8
17.4023,10,10,8
17.4062,10,10,8
17.4102,10,10,8
17.4141,10,8,8
17.418,10,8,8
17.4219,10,8,8
17.4258,8,8,8
17.4297,10,10,8
17.4336,10,9,8
17.4375,10,8,8
17.4414,10,10,8
17.4453,10,10,8
17.4492,10,8,8
17.4531,10,8,8
17.457,10,10,8
17.4609,10,10,8
17.4648,10,8,8
17.4688,10,8,8
17.4727,8,8,8
17.4766,10,10,8
17.4805,10,10,8
17.4844,10,10,8
17.4883,10,8,8
17.4922,10,8,8
17.4961,10,10,8
17.5,10,10,8
17.5039,10,8,8
17.5078,10,10,8
17.5117,10,8,8
17.5156,10,10,8
17.5195,10,8,8
17.5234,8,8,8
17.5273,10,10,8
17.5312,10,8,8
17.5352,8,8,8
17.5391,10,10,8
17.543,10,8,8
17.5469,8,8,8
17.5508,10,10,8
17.5547,10,8,8
17.5586,10,10,8
17.5625,10,8,8
17.5664,10,10,8
17.5703,10,8,8
17.5742,9,8,8
17.5781,10,10,8
17.582,10,8,8
17.5859,10,10,8
17.5898,10,8,8
17.5938,10,10,8
17.5977,10,8,8
17.6016,10,10,8
17.6055,10,8,8
17.6094,10,10,8
17.6133,10,8,8
17.6172,10,10,8
17.6211,10,8,8
17.625,10,8,8
17.6289,10,10,8
17.6328,10,8,8
17.6367,10,10,8
17.6406,10,8,8
17.6445,8,8,8
17.6484,10,10,8
17.6523,8,8,8
17.6562,8,8,8
17.6602,8,8,8
17.6641,8,8,8
17.668,10,10,8
17.6719,10,10,8
17.6758,10,10,8
17.6797,10,8,8
17.6836,10,10,8
17.6875,10,8,8
17.6914,10,10,8
17.6953,10,8,8
17.6992,10,10,8
17.7031,10,8,8
17.707,8,8,8
17.7109,10,10,8
17.7148,8,8,8
17.7188,10,10,8
17.7227,10,8,8
17.7266,10,10,8
17.7305,10,8,8
17.7344,10,8,8
17.7383,10,10,8
17.7422,10,8,8
17.7461,10,10,8
17.75,8,8,8
17.7539,10,10,8
17.7578,10,8,8
17.7617,10,10,8
17.7656,10,8,8
17.7695,10,10,8
17.7734,8,8,8
17.7773,10,9,8
17.7812,8,8,8
17.7852,8,8,8
17.7891,10,10,8
17.793,10,8,8
17.7969,10,10,8
17.8008,8,8,8
17.8047,10,10,8
17.8086,10,10,8
17.8125,10,8,8
17.8164,10,10,8
17.8203,10,8,8
17.8242,10,8,8
17.8281,10,10,8
17.832,10,10,8
17.8359,10,8,8
17.8398,10,10,8
17.8438,10,10,8
17.8477,10,8,8
17.8516,8,8,8
17.8555,8,8,8
17.8594,10,8,8
17.8633,10,10,8
17.8672,9,8,8
17.8711,10,8,8
17.875,10,10,10
17.8789,8,8,8
17.8828,8,8,8
17.8867,10,8,8
17.8906,10,8,8
17.8945,10,10,8
17.8984,10,10,8
17.9023,10,8,8
17.9062,10,8,8
17.9102,10,8,8
17.9141,10,10,8
17.918,10,10,8
17.9219,10,10,8
17.9258,8,8,8
17.9297,10,8,8
17.9336,10,8,8
17.9375,10,8,8
17.9414,10,10,8
17.9453,10,10,8
17.9492,10,10,8
17.9531,8,8,8
17.957,10,8,8
17.9609,10,8,8
17.9648,10,10,8
17.9688,10,10,8
17.9727,10,10,8
17.9766,10,10,8
17.9805,10,8,8
17.9844,10,8,8
17.9883,10,8,8
17.9922,10,8,8
17.9961,8,8,8
18,10,10,8
18.0039,10,10,8
18.0078,10,8,8
18.0117,10,10,8
18.0156,10,10,8
18.0195,10,10,8
18.0234,10,10,8
18.0273,10,10,8
18.0312,10,10,8
18.0352,10,10,8
18.0391,10,10,8
18.043,10,8,8
18.0469,10,9,8
18.0508,10,8,8
18.0547,10,8,8
18.0586,10,8,8
18.0625,10,8,8
18.0664,10,8,8
18.0703,10,8,8
18.0742,10,8,8
18.0781,10,8,8
18.082,10,8,8
18.0859,10,8,8
18.0898,10,8,8
18.0938,10,8,8
18.0977,10,10,8
18.1016,8,8,8
18.1055,10,8,8
18.1094,10,8,8
18.1133,10,8,8
18.1172,10,8,8
18.1211,10,8,8
18.125,8,8,8
18.1289,8,8,8
18.1328,8,8,8
18.1367,8,8,8
18.1406,8,8,8
18.1445,8,8,8
18.1484,10,10,8
18.1523,10,10,8
18.1562,10,10,8
18.1602,10,8,8
18.1641,10,8,8
18.168,10,8,8
18.1719,8,8,8
18.1758,8,8,8
18.1797,10,10,8
18.1836,10,10,8
18.1875,10,10,8
18.1914,10,8,8
18.1953,10,10,8
18.1992,10,10,8
18.2031,10,8,8
18.207,10,8,8
18.2109,8,8,8
18.2148,10,10,8
18.2188,10,10,8
18.2227,10,8,8
18.2266,8,8,8
18.2305,10,10,8
18.2344,10,8,8
18.2383,10,8,8
18.2422,8,8,8
18.2461,10,10,8
18.25,10,10,8
18.2539,10,8,8
18.2578,9,8,8
18.2617,10,10,8
18.2656,10,10,8
18.2695,10,8,8
18.2734,10,10,8
18.2773,10,8,8
18.2812,10,8,8
18.2852,10,10,8
18.2891,10,9,8
18.293,10,8,8
18.2969,10,10,8
18.3008,10,8,8
18.3047,10,8,8
18.3086,8,8,8
18.3125,10,10,8
18.3164,10,8,8
18.3203,10,8,8
18.3242,8,8,8
18.3281,10,10,8
18.332,10,10,8
18.3359,10,8,8
18.3398,8,8,8
18.3438,8,8,8
18.3477,10,10,8
18.3516,10,8,8
18.3555,10,10,8
18.3594,10,8,8
18.3633,10,8,8
18.3672,10,10,8
18.3711,10,8,8
18.375,10,10,8
18.3789,10,10,8
18.3828,8,8,8
18.3867,10,9,8
18.3906,10,8,8
18.3945,8,8,8
18.3984,10,10,8
18.4023,10,8,8
18.4062,8,8,8
18.4102,10,10,8
18.4141,10,8,8
18.418,10,10,8
18.4219,10,8,8
18.4258,8,8,8
18.4297,10,8,8
18.4336,10,10,8
18.4375,10,8,8
18.4414,8,8,8
18.4453,10,10,8
18.4492,10,8,8
18.4531,10,10,8
18.457,10,8,8
18.4609,10,10,8
18.4648,10,8,8
18.4688,10,10,8
18.4727,10,8,8
18.4766,10,10,8
18.4805,10,8,8
18.4844,10,10,8
18.4883,10,8,8
18.4922,10,10,8
18.4961,9,8,8
18.5,10,10,8
18.5039,10,10,8
18.5078,8,8,8
18.5117,10,8,8
18.5156,10,10,8
18.5195,8,8,8
18.5234,10,10,8
18.5273,10,10,8
18.5312,10,10,8
18.5352,10,8,8
18.5391,10,10,8
18.543,9,8,8
18.5469,10,9,8
18.5508,8,8,8
18.5547,10,8,8
18.5586,10,10,8
18.5625,10,8,8
18.5664,10,8,8
18.5703,10,10,8
18.5742,10,8,8
18.5781,10,8,8
18.582,10,10,8
18.5859,10,8,8
18.5898,10,10,8
18.5938,10,10,8
18.5977,10,8,8
18.6016,10,10,8
18.6055,10,10,8
18.6094,10,8,8
18.6133,10,8,8
18.6172,10,10,8
18.6211,8,8,8
18.625,10,8,8
18.6289,10,9,8
18.6328,8,8,8
18.6367,10,8,8
18.6406,10,10,8
18.6445,10,10,8
18.6484,8,8,8
18.6523,10,8,8
18.6562,10,8,8
18.6602,10,9,8
18.6641,10,10,8
18.668,10,10,8
18.6719,8,8,8
18.6758,10,8,8
18.6797,10,8,8
18.6836,10,8,8
18.6875,10,10,8
18.6914,9,8,8
18.6953,10,8,8
18.6992,10,10,8
18.7031,10,10,8
18.707,8,8,8
18.7109,10,8,8
18.7148,10,10,8
18.7188,8,8,8
18.7227,10,8,8
18.7266,10,10,8
18.7305,10,8,8
18.7344,10,8,8
18.7383,10,10,8
18.7422,8,8,8
18.7461,10,8,8
18.75,10,10,8
18.7539,10,10,8
18.7578,10,10,8
18.7617,8,8,8
18.7656,10,8,8
18.7695,10,10,8
18.7734,8,8,8
18.7773,10,8,8
18.7812,10,9,8
18.7852,10,10,8
18.7891,10,8,8
18.793,10,8,8
18.7969,10,8,8
18.8008,10,10,8
18.8047,10,10,8
18.8086,8,8,8
18.8125,10,8,8
18.8164,10,8,8
18.8203,10,10,8
18.8242,10,8,8
18.8281,10,10,8
18.832,10,10,8
18.8359,10,10,8
18.8398,10,10,8
18.8438,10,10,8
18.8477,10,10,8
18.8516,10,10,8
18.8555,10,10,8
18.8594,8,8,8
18.8633,10,8,8
18.8672,10,8,8
18.8711,10,8,8
18.875,10,8,8
18.8789,10,8,8
18.8828,10,8,8
18.8867,10,9,8
18.8906,10,8,8
18.8945,10,8,8
18.8984,10,8,8
18.9023,10,8,8
18.9062,9,8,8
18.9102,10,8,8
18.9141,8,8,8
18.918,8,8,8
18.9219,8,8,8
18.9258,8,8,8
18.9297,8,8,8
18.9336,10,8,8
18.9375,8,8,8
18.9414,10,10,8
18.9453,10,10,8
18.9492,10,9,8
18.9531,10,8,8
18.957,10,8,8
18.9609,10,8,8
18.9648,8,8,8
18.9688,8,8,8
18.9727,9,8,8
18.9766,10,10,8
18.9805,10,10,8
18.9844,10,8,8
18.9883,10,8,8
18.9922,10,8,8
18.9961,9,8,8
19,10,10,8
19.0039,10,8,8
19.0078,10,10,8
19.0117,10,10,8
19.0156,10,8,8
19.0195,8,8,8
19.0234,10,10,8
19.0273,10,10,8
19.0312,10,8,8
19.0352,10,8,8
19.0391,10,8,8
19.043,10,10,8
19.0469,10,8,8
19.0508,10,8,8
19.0547,8,8,8
19.0586,10,10,8
19.0625,10,10,8
19.0664,10,8,8
19.0703,10,8,8
19.0742,8,8,8
19.0781,10,10,8
19.082,10,10,8
19.0859,10,8,8
19.0898,10,8,8
19.0938,10,8,8
19.0977,10,10,8
19.1016,10,10,8
19.1055,10,8,8
19.1094,8,8,8
19.1133,10,10,8
19.1172,10,10,8
19.1211,10,10,8
19.125,10,8,8
19.1289,10,8,8
19.1328,10,8,8
19.1367,8,8,8
19.1406,8,8,8
19.1445,8,8,8
19.1484,10,10,8
19.1523,10,10,8
19.1562,10,8,8
19.1602,10,8,8
19.1641,9,8,8
19.168,8,8,8
19.1719,10,10,8
19.1758,10,8,8
19.1797,10,8,8
19.1836,10,8,8
19.1875,10,10,8
19.1914,10,8,8
19.1953,10,10,8
19.1992,10,8,8
19.2031,10,10,8
19.207,10,8,8
19.2109,9,8,8
19.2148,10,10,8
19.2188,9,8,8
19.2227,10,10,8
19.2266,10,8,8
19.2305,8,8,8
19.2344,10,9,8
19.2383,10,8,8
19.2422,10,10,8
19.2461,8,8,8
19.25,10,9,8
19.2539,10,8,8
19.2578,10,8,8
19.2617,10,8,8
19.2656,10,8,8
19.2695,8,8,8
19.2734,10,8,8
19.2773,8,8,8
19.2812,10,8,8
19.2852,8,8,8
19.2891,10,10,8
19.293,10,10,8
19.2969,10,8,8
19.3008,10,10,8
19.3047,10,8,8
19.3086,10,9,8
19.3125,10,9,8
19.3164,10,10,8
19.3203,10,8,8
19.3242,10,8,8
19.3281,10,10,8
19.332,10,8,8
19.3359,10,8,8
19.3398,10,10,8
19.3438,10,8,8
19.3477,10,8,8
19.3516,10,9,8
19.3555,10,8,8
19.3594,10,8,8
19.3633,10,10,8
19.3672,10,8,8
19.3711,10,9,8
19.375,8,8,8
19.3789,10,8,8
19.3828,10,10,8
19.3867,8,8,8
19.3906,10,8,8
19.3945,10,10,8
19.3984,10,8,8
19.4023,10,8,8
19.4062,10,9,8
19.4102,8,8,8
19.4141,10,8,8
19.418,10,10,8
19.4219,10,10,8
19.4258,10,8,8
19.4297,10,8,8
19.4336,10,10,8
19.4375,10,8,8
19.4414,10,8,8
19.4453,10,10,8
19.4492,10,8,8
19.4531,10,9,8
19.457,10,10,8
19.4609,10,10,8
19.4648,8,8,8
19.4688,10,8,8
19.4727,10,8,8
19.4766,10,8,8
19.4805,10,10,8
19.4844,8,8,8
19.4883,10,8,8
19.4922,10,10,8
19.4961,10,10,8
19.5,10,10,8
19.5039,10,10,8
19.5078,8,8,8
19.5117,10,8,8
19.5156,10,8,8
19.5195,10,10,8
19.5234,8,8,8
19.5273,8,8,8
19.5312,10,8,8
19.5352,10,10,8
19.5391,10,10,8
19.543,10,8,8
19.5469,10,8,8
19.5508,10,8,8
19.5547,10,8,8
19.5586,10,10,8
19.5625,8,8,8
19.5664,10,8,8
19.5703,10,8,8
19.5742,10,8,8
19.5781,10,10,8
19.582,10,10,8
19.5859,10,9,8
19.5898,10,10,8
19.5938,10,10,8
19.5977,10,10,8
19.6016,10,10,8
19.6055,8,8,8
19.6094,9,8,8
19.6133,8,8,8
19.6172,10,8,8
19.6211,10,8,8
19.625,10,8,8
19.6289,10,8,8
19.6328,10,8,8
19.6367,10,8,8
19.6406,10,8,8
19.6445,10,10,8
19.6484,10,8,8
19.6523,10,8,8
19.6562,10,8,8
19.6602,10,8,8
19.6641,10,8,8
19.668,10,8,8
19.6719,10,8,8
19.6758,10,8,8
19.6797,10,8,8
19.6836,10,8,8
19.6875,10,8,8
19.6914,10,8,8
19.6953,10,8,8
19.6992,10,8,8
19.7031,10,8,8
19.707,10,8,8
19.7109,10,8,8
19.7148,10,8,8
19.7188,10,8,8
19.7227,10,8,8
19.7266,10,8,8
19.7305,10,9,8
19.7344,10,8,8
19.7383,10,8,8
19.7422,10,8,8
19.7461,10,8,8
19.75,10,8,8
19.7539,10,8,8
19.7578,10,8,8
19.7617,10,8,8
19.7656,10,8,8
19.7695,10,8,8
19.7734,8,8,8
19.7773,10,8,8
19.7812,10,8,8
19.7852,8,8,8
19.7891,8,8,8
19.793,8,8,8
19.7969,10,10,8
19.8008,10,10,8
19.8047,10,10,8
19.8086,10,10,8
19.8125,10,8,8
19.8164,10,8,8
19.8203,10,8,8
19.8242,10,8,8
19.8281,8,8,8
19.832,8,8,8
19.8359,8,8,8
19.8398,10,8,8
19.8438,8,8,8
19.8477,8,8,8
19.8516,10,8,8
19.8555,8,8,8
19.8594,10,10,8
19.8633,10,10,8
19.8672,10,8,8
19.8711,10,8,8
19.875,8,8,8
19.8789,10,10,8
19.8828,10,8,8
19.8867,10,8,8
19.8906,10,10,8
19.8945,10,8,8
19.8984,10,8,8
19.9023,9,8,8
19.9062,10,10,8
19.9102,10,10,8
19.9141,10,8,8
19.918,8,8,8
19.9219,10,10,8
19.9258,10,8,8
19.9297,8,8,8
19.9336,10,10,8
19.9375,10,8,8
19.9414,10,8,8
19.9453,10,8,8
19.9492,10,10,8
19.9531,10,8,8
19.957,10,10,8
19.9609,10,8,8
19.9648,9,8,8
19.9688,8,8,8
19.9727,10,10,8
19.9766,10,8,8
19.9805,10,8,8
19.9844,8,8,8
19.9883,10,10,8
19.9922,10,8,8
19.9961,8,8,8
20,10,8,8
20.0039,10,8,8
20.0078,10,10,8
20.0117,8,8,8
20.0156,8,8,8
20.0195,10,10,8
20.0234,10,8,8
20.0273,10,10,8
20.0312,10,8,8
20.0352,10,10,8
20.0391,10,8,8
20.043,10,10,8
20.0469,10,8,8
20.0508,10,10,8
20.0547,10,8,8
20.0586,10,10,8
20.0625,10,8,8
20.0664,10,10,8
20.0703,10,8,8
20.0742,10,10,8
20.0781,10,8,8
20.082,10,10,8
20.0859,10,8,8
20.0898,9,8,8
20.0938,10,10,8
20.0977,10,8,8
20.1016,8,8,8
20.1055,10,9,8
20.1094,10,8,8
20.1133,8,8,8
20.1172,10,10,8
20.1211,10,8,8
20.125,8,8,8
20.1289,10,10,8
20.1328,10,8,8
20.1367,8,8,8
20.1406,10,10,8
20.1445,10,8,8
20.1484,10,8,8
20.1523,10,10,8
20.1562,10,8,8
20.1602,10,10,8
20.1641,10,8,8
20.168,8,8,8
20.1719,10,10,8
20.1758,10,10,8
20.1797,10,8,8
20.1836,10,10,8
20.1875,10,8,8
20.1914,10,8,8
20.1953,8,8,8
20.1992,10,8,8
20.2031,10,10,8
20.207,8,8,8
20.2109,10,10,8
20.2148,10,10,8
20.2188,10,8,8
20.2227,10,8,8
20.2266,10,10,8
20.2305,10,8,8
20.2344,10,10,8
20.2383,8,8,8
20.2422,10,8,8
20.2461,10,10,8
20.25,8,8,8
20.2539,10,8,8
20.2578,10,10,8
20.2617,8,8,8
20.2656,10,8,8
20.2695,10,10,8
20.2734,10,8,8
20.2773,10,8,8
20.2812,10,10,8
20.2852,9,8,8
20.2891,10,8,8
20.293,10,10,8
20.2969,10,8,8
20.3008,10,10,8
20.3047,8,8,8
20.3086,10,8,8
20.3125,10,9,8
20.3164,9,8,8
20.3203,10,8,8
20.3242,10,10,8
20.3281,10,10,8
20.332,10,8,8
20.3359,10,8,8
20.3398,10,8,8
20.3438,10,8,8
20.3477,10,10,8
20.3516,10,10,8
20.3555,10,10,8
20.3594,8,8,8
20.3633,10,8,8
20.3672,10,10,8
20.3711,10,10,8
20.375,10,8,8
20.3789,10,10,8
20.3828,8,8,8
20.3867,10,8,8
20.3906,10,8,8
20.3945,10,10,8
20.3984,10,10,8
20.4023,8,8,8
20.4062,10,8,8
20.4102,10,10,8
20.4141,9,8,8
20.418,10,8,8
20.4219,10,10,8
20.4258,10,10,8
20.4297,10,8,8
20.4336,10,8,8
20.4375,10,10,8
20.4414,10,8,8
20.4453,10,9,8
20.4492,10,9,8
20.4531,10,10,8
20.457,10,10,8
20.4609,10,10,8
20.4648,8,8,8
20.4688,10,8,8
20.4727,10,8,8
20.4766,10,8,8
20.4805,10,8,8
20.4844,10,8,8
20.4883,10,10,8
20.4922,10,10,8
20.4961,10,9,8
20.5,10,10,8
20.5039,10,10,8
20.5078,10,10,8
20.5117,10,10,8
20.5156,10,8,8
20.5195,10,8,8
20.5234,10,8,8
20.5273,10,8,8
20.5312,10,8,8
20.5352,10,8,8
20.5391,10,8,8
20.543,10,8,8
20.5469,10,8,8
20.5508,10,8,8
20.5547,10,8,8
20.5586,10,8,8
20.5625,10,8,8
20.5664,10,8,8
20.5703,10,8,8
20.5742,10,8,8
20.5781,10,8,8
20.582,10,8,8
20.5859,10,8,8
20.5898,10,8,8
20.5938,10,8,8
20.5977,10,8,8
20.6016,10,8,8
20.6055,10,8,8
20.6094,10,8,8
20.6133,10,8,8
20.6172,8,8,8
20.6211,10,8,8
20.625,8,8,8
20.6289,8,8,8
20.6328,8,8,8
20.6367,9,8,8
20.6406,10,8,8
20.6445,10,8,8
20.6484,8,8,8
20.6523,8,8,8
20.6562,10,8,8
20.6602,8,8,8
20.6641,10,8,8
20.668,9,8,8
20.6719,10,8,8
20.6758,10,8,8
20.6797,10,8,8
20.6836,10,8,8
20.6875,10,8,8
20.6914,10,8,8
20.6953,10,8,8
20.6992,10,8,8
20.7031,10,10,8
20.707,10,9,8
20.7109,10,10,8
20.7148,10,8,8
20.7188,10,8,8
20.7227,10,8,8
20.7266,10,10,8
20.7305,10,10,8
20.7344,10,8,8
20.7383,10,8,8
20.7422,10,8,8
20.7461,10,8,8
20.75,8,8,8
20.7539,8,8,8
20.7578,10,10,8
20.7617,10,10,8
20.7656,10,8,8
20.7695,10,8,8
20.7734,9,8,8
20.7773,8,8,8
20.7812,10,10,8
20.7852,10,8,8
20.7891,10,8,8
20.793,8,8,8
20.7969,10,10,8
20.8008,10,8,8
20.8047,10,8,8
20.8086,10,8,8
20.8125,10,8,8
20.8164,8,8,8
20.8203,10,10,8
20.8242,10,8,8
20.8281,10,8,8
20.832,10,10,8
20.8359,10,8,8
20.8398,10,8,8
20.8438,10,10,8
20.8477,10,8,8
20.8516,8,8,8
20.8555,10,10,8
20.8594,10,8,8
20.8633,8,8,8
20.8672,10,9,8
20.8711,10,8,8
20.875,8,8,8
20.8789,10,10,8
20.8828,10,8,8
20.8867,10,10,8
20.8906,10,8,8
20.8945,8,8,8
20.8984,10,8,8
20.9023,10,8,8
20.9062,10,10,8
20.9102,10,8,8
20.9141,10,8,8
20.918,10,10,8
20.9219,10,8,8
20.9258,10,10,8
20.9297,10,8,8
20.9336,10,10,8
20.9375,10,8,8
20.9414,10,10,8
20.9453,10,8,8
20.9492,8,8,8
20.9531,10,10,8
20.957,10,8,8
20.9609,10,8,8
20.9648,10,8,8
20.9688,10,10,8
20.9727,10,8,8
20.9766,10,9,8
20.9805,8,8,8
20.9844,10,8,8
20.9883,10,10,8
20.9922,10,8,8
20.9961,10,10,8
21,10,8,8
21.0039,10,10,8
21.0078,10,8,8
21.0117,10,10,8
21.0156,10,8,8
21.0195,10,8,8
21.0234,8,8,8
21.0273,10,8,8
21.0312,8,8,8
21.0352,10,8,8
21.0391,10,10,8
21.043,10,8,8
21.0469,10,8,8
21.0508,8,8,8
21.0547,10,8,8
21.0586,10,8,8
21.0625,10,10,8
21.0664,10,8,8
21.0703,10,8,8
21.0742,10,10,8
21.0781,8,8,8
21.082,10,8,8
21.0859,10,8,8
21.0898,10,10,8
21.0938,10,8,8
21.0977,10,8,8
21.1016,10,10,8
21.1055,10,10,8
21.1094,8,8,8
21.1133,10,8,8
21.1172,10,8,8
21.1211,10,10,8
21.125,10,10,8
21.1289,10,8,8
21.1328,10,8,8
21.1367,10,9,8
21.1406,10,10,8
21.1445,10,10,8
21.1484,10,8,8
21.1523,10,8,8
21.1562,10,10,8
21.1602,8,8,8
21.1641,10,8,8
21.168,10,8,8
21.1719,10,9,8
21.1758,10,9,8
21.1797,8,8,8
21.1836,10,8,8
21.1875,8,8,8
21.1914,10,10,8
21.1953,10,10,8
21.1992,8,8,8
21.2031,9,8,8
21.207,10,8,8
21.2109,10,8,8
21.2148,10,8,8
21.2188,10,8,8
21.2227,10,9,8
21.2266,10,9,8
21.2305,8,8,8
21.2344,10,8,8
21.2383,10,8,8
21.2422,10,8,8
21.2461,10,8,8
21.25,10,8,8
21.2539,10,8,8
21.2578,10,8,8
21.2617,10,8,8
21.2656,10,8,8
21.2695,10,8,8
